question_id,category_1,category_2,category_3,question_text_original,question_text_rev,variants_1,variants_2,variants_3,variants_4,variants_5,variants_6,variants_7,variants_8,variants_9,variants_10,variants_11,variants_12,variants_13,variants_14,variants_15,variants_16,variants_17,variants_18,,,,,variants_19,,,,answer
56af6bbfe0e2eee2aa00004c,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,Quali Paesi sono coperti per la polizza Viaggi Nostop Vacanza?,In quali paesi è valida la polizza Viaggi Nostop Vacanza?,Quali Paesi sono coperti  dalla polizza Viaggi Nostop Vacanza?,Quali sono i paesi in cui è attiva la polizza Viaggi Nostop Vacanza?,"Ho sottoscritto la polizza Viaggi Nostop Vacanza, in quali paesi sono assicurato?",,,,,,,,,,,,,,,,,,,,,,,,"La polizza sarà valida secondo l'estensione territoriale indicata sul modulo di polizza: Italia, Europa o Mondo.\n\nPaesi sempre esclusi sono: Afghanistan, Antartico, Cocos, Georgia del Sud, Heard e Mc Donald, Isola Bouvet, Isola Christmas, Isola Pitcairn, Isole Chagos, Isole Falkland, Isole Marshall, Isole Minori, Isole Salomone, Isole Wallis e Futuna, Kiribati, Micronesia, Nauru, Niue, Palau, Sahara Occidentale, Samoa, Sant'Elena, Somalia, Terre Australi Francesi, Timor Occidentale, Timor Orientale, Tokelau, Tonga, Tuvalu, Vanuatu. \n\nInoltre, le nostre polizze non sono valide per i Paesi ritenuti in stato di belligeranza, ovvero con un grado di rischio uguale o superiore a 4,0. \nPer verificare il grado di rischio, puoi collegarti al sito http://www.ihs.com/info/all/jccwatchlist.aspx ."
56af6bc1e0e2eee2aa000052,Viaggi Nostop Vacanza,Richiesta Assistenza,Viaggi,"Quando posso chiedere il ""rientro sanitario""?","Cos'è e come funziona il ""rientro sanitario""?","Quando posso chiedere il ""rientro sanitario""? ","In quali casi si può ottenere il ""rientro sanitario""?",,,,,,,,,,,,,,,,,,,,,,,,,"Il rientro sanitario avviene quando, in seguito a infortunio o malattia, l'assicurato necessita del trasporto in un istituto di cura attrezzato (in Italia) o del rientro alla sua residenza. Tale necessità è determinata a giudizio dei medici della Centrale Operativa Europ Assistance e in accordo con il medico curante sul posto. In quel caso il trasporto è interamente organizzato dalla Centrale Operativa, con spese a suo carico, e comprende l'assistenza medica o infermieristica durante il viaggio, nel caso i medici della Centrale Operativa la ritengano necessaria."
56af6bc2e0e2eee2aa000055,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,L'integrazione Responsabilità Civile mi copre se noleggio un auto o una moto all'estero?,Il noleggio di un'auto o di una moto all'estero è coperto dall'integrazione Responsabilità Civile?,Quali sono le condizioni dell'integrazione Responsabilità Civile?,In quali casi è valida l'integrazione Responsabilità Civile?,,,,,,,,,,,,,,,,,,,,,,,,,"No, la guida dei veicoli a motore è tra le esclusioni."
56af6bc3e0e2eee2aa000058,Viaggi Nostop Vacanza,Info e Acquisto,Viaggi,Cosa copre la garanzia bagaglio per la polizza Viaggi Nostop Vacanza?,Cosa copre la garanzia bagaglio per la polizza Viaggi Nostop Vacanza? ,Quali sono le condizioni della garanzia bagaglio per la polizza Viaggi Nostop Vacanza?,Quali coperture offre la garanzia bagaglio della polizza Viaggi Nostop Vacanza?,Come funziona la garanzia bagaglio per la polizza Viaggi Nostop Vacanza?,In quali casi è valida la garanzia bagaglio per la polizza Viaggi Nostop Vacanza?,,,,,,,,,,,,,,,,,,,,,,,"La garanzia copre il bagaglio e gli effetti personali dell'assicurato, inclusi gli abiti indossati, in caso di furto, incendio, rapina, scippo, mancata riconsegna e/o danneggiamento da parte del vettore.\nInoltre per la versione “Top” sono compresi in garanzia i telefoni cellulari, lettori MP3, personal computer, tablets, passeggini, carrozzine e attrezzatura sportiva (non professionale) imbarcata ad hoc."
56af6bc5e0e2eee2aa000061,Viaggi Nostop Annullamento,Rimborso Sinistri,Viaggi,Ho stipulato una polizza Viaggi Nostop Annullamento e ho necessità di riprogrammare il viaggio per il quale avevo sottoscritto la polizza: come posso procedere?,Come devo procedere se ho una polizza Viaggi Nostop Annullamento e devo ritardare la partenza del viaggio per cui avevo sottoscritto la polizza?,A chi mi devo rivolgere se ho la necessità di riprogrammare il viaggio per cui avevo sottoscritto la polizza Viaggi Nostop Annullamento?,Cosa devo fare in caso di necessità di riprogrammare la partenza di un viaggio per cui avevo stipulato la polizza Viaggi Nostop Annullamento? ,Come devo procedere in caso di ritardo della partenza di un viaggio per cui avevo sottoscritto la polizza Viaggi Nostop Annullamento?,Ho una polizza Viaggi Nostop Annullamento: quali istruzioni devo seguire in caso di partenza ritardata?,,,,,,,,,,,,,,,,,,,,,,,"Dovrai effettuare una denuncia entro e non oltre i 3 giorni dal rientro, accedendo al portale https://sinistrionline.europassistance.it seguendo le istruzioni oppure accedendo direttamente al sito www.europassistance.it sezione Sinistri. In alternativa puoi scrivere ad Europ Assistance – Ufficio Liquidazione Sinistri (Annullamento Viaggio) – Piazza Trento, 8 – 20135 Milano, e presentando entro 15 giorni dal rientro i seguenti documenti:\nDati anagrafici, codice fiscale e recapito,\nDocumentazione attestante la causa della ritardata partenza in originale,\nNuovi titoli di viaggio acquistati per raggiungere il luogo previsto del viaggio,\nRicevute di pagamento del viaggio o locazione,\nEstratto conto di conferma prenotazione emesso dall'Organizzazione/Agenzia Viaggi,\nTitoli di viaggio non utilizzati in originale.\nPer qualunque ulteriore informazione ti invitiamo a consultare il Fascicolo Informativo o a contattarci, dall'Italia, al numero verde 800.01.35.29 dal Lunedì al Sabato, esclusi i festivi, dalle ore 8.00 alle ore 20.00"
56af6bc8e0e2eee2aa00006a,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Posso stipulare la polizza Viaggi Nostop Annullamento solo per il biglietto aereo?,Quali garanzie offre la polizza Viaggi Nostop Annullamento?,Posso stipulare la polizza Viaggi Nostop Annullamento solo per il biglietto aereo?,Quali servizi sono compresi nella polizza Viaggi Nostop Annullamento?,L'alloggio che ho prenotato è coperto dalla polizza Viaggi Nostopannullamento?,Quali coperture sono garantite dalla polizza Viaggi Nostop Annullamento?,Cosa include la polizza Viaggi Nostop Annullamento?,In cosa consiste la polizza Viaggi Nostop Annullamento?,,,,,,,,,,,,,,,,,,,,,"La nostra polizza Viaggi Nostop Annullamento assicura la biglietteria aereo o navale, pacchetti viaggio e locazione di immobili con regolare contratto."
56af6bcae0e2eee2aa000070,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Se devo assicurare più persone per la poilizza Viaggi Nostop Annullamento che valore devo inserire?,Quale valore devo inserire per assicurare più persone con la polizza Viaggi Nostop Annullamento? ,Come faccio per assicurare più persone con la polizza Viaggi Nostop Annullamento?,Cosa devo fare per assicurare più persone con la polizza Viaggi Nostop Annullamento?,,,,,,,,,,,,,,,,,,,,,,,,,Va inserito il valore totale del viaggio
56af6bcde0e2eee2aa00007c,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Quali casi di annullamento sono coperti nella polizza Viaggi Nostop Annullamento?,Quali casi di annullamento sono coperti dalla polizza Viaggi Nostop Annullamento?,Quali sono le condizioni per le quali un caso di annullamento viene considerato valido?,Come posso sapere se la causa di annullamento del mio viaggio è riconosciuta come valida?,,,,,,,,,,,,,,,,,,,,,,,,,"I casi di annullamento coperti sono tutte le cause oggettivamente documentabili e imprevedibili che colpiscano l'assicurato, un familiare, o il contitolare dell'azienda/studio associato"
56af6bcee0e2eee2aa00007f,Viaggi Nostop Annullamento,Rimborso Sinistri,Viaggi,Quali sono i tempi per comunicare l'annullamento del viaggio per la polizza Viaggi Nostop Annullamento?,"Ho una polizza Viaggi Nostop Annullamento, quali sono le tempistiche da rispettare per comunicare l'annullamento del viaggio?",Entro quale data devo comunicare l'annullamento del viaggio usufruendo della polizza Viaggi Nostop Annullamento?,Quando devo comunicare l'annullamento del viaggio?,,,,,,,,,,,,,,,,,,,,,,,,,L'assicurato deve effettuare la  denuncia ad Europ Assistance  entro e non oltre 3 giorni di calendario dal verificarsi della causa della rinuncia  e comunque entro la data di inizio viaggio.
56af6bcfe0e2eee2aa000082,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Cosa viene rimborsato in caso di rinuncia al viaggio con la polizza Viaggi Nostop Annullamento?,"In caso di rinuncia al viaggio, quali rimborsi prevede la polizza Viaggi Nostop Annullamento",Cosa viene rimborsato dalla polizza Viaggi Nostop Annullamento?,Quali spese vengono coperte e rimborsate dalla polizza Viaggi Nostop Annullamento?,,,,,,,,,,,,,,,,,,,,,,,,,"Viene rimborsata  la  penale applicata contrattualmente dall'Organizzatore del viaggio, da una Compagnia Aerea o di Navigazione inclusi costi di gestione pratica, le  fee di agenzia, l'adeguamento del carburante e i visti. Nel caso di acquisto della sola biglietteria aerea il rimborso avverrà al netto delle tasse aereoportuali rimborsate dal vettore aereo."
56af6bd0e0e2eee2aa000085,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Quando decorre la Polizza di annullamento Viaggio e fino a quanto dura?,Da quando ha effetto la polizza Viaggi Nostop Annullamento e fino a quanto è valida?,Quando decorre la polizza Viaggi Nostop Annullamento e fino a quanto dura?,Quando inizio a essere coperto dall'assicurazione Viaggi Nostop Annullamento?,Quando scade la polizza Viaggi Nostop Annullamento?,,,,,,,,,,,,,,,,,,,,,,,,"L'assicurazione nei confronti di ogni Assicurato decorre dalle ore 24.00 del giorno indicato nel Modulo di Polizza e scade alle ore 24.00 del giorno indicato nel Modulo stesso.\nLa garanzia decorre dalla data di iscrizione al viaggio e dura fino all'inizio del viaggio stesso, intendendosi per inizio del viaggio il momento in cui l'Assicurato avrebbe dovuto presentarsi alla stazione di partenza o al primo check-in in aeroporto o comunque fino alla fruizione del primo servizio contrattualmente previsto."
56af6bd1e0e2eee2aa000088,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,Esistono dei limiti di tempo entro i quali posso acquistare la Polizza di Annullamento Viaggio?,Esistono dei limiti di tempo entro i quali posso acquistare la polizza Viaggi Nostop Annullamento?,Entro quale data posso fare la mia richiesta per la polizza Viaggi Nostop Annullamento?,Fino a quando ho la possibilità di sottoscrivere la polizza Viaggi Nostop Annullamento?,Quali tempistiche devo rispettare per acquistare la polizza Viaggi Nostop Annullamento?,,,,,,,,,,,,,,,,,,,,,,,,Condizione necessaria per l'operatività della Polizza è sottoscriverla al più tardi entro le ore 24 del giorno successivo al giorno di iscrizione al viaggio o di prenotazione della biglietteria aerea o navale.
56af6bd2e0e2eee2aa00008b,Viaggi Nostop Annullamento,Info e Acquisto,Viaggi,"Nel caso in cui dovessi riprogrammare il viaggio, quali saranno le spese di Europ Assistance?","Nel caso in cui dovessi riprogrammare il viaggio, quali saranno le spese che mi rimborserà Europ Assistance?","In caso di riprogrammazione del viaggio, quali costi saranno coperti da Europ Assistance?",Quali sarebbero i rimborsi garantiti da Europ Assistance se fosse necessario annullare un viaggio e riprogrammarlo?,Quali rimborsi garantisce la polizza Viaggi Nostop Annullamento in caso di necessità di riprogrammare un viaggio?,,,,,,,,,,,,,,,,,,,,,,,,"Europ Assistance rimborsa all'Assicurato il 50%, con un massimo di 500,00 euro a persona e di 1500,00 euro per pratica di viaggio, degli eventuali costi maggiori sostenuti per acquistare nuovi titoli di viaggio (biglietteria aerea, marittima o ferroviaria), in sostituzione di quelli non utilizzabili per ritardato arrivo dell'Assicurato sul luogo di partenza determinato da una causa o un evento esterno. Europ Assistance rimborsa gli eventuali maggiori costi all'assicurato e, purché assicurati ed iscritti alla medesima pratica, ai componenti del nucleo familiare e/o ad uno dei compagni di viaggio."
56af6bd3e0e2eee2aa00008e,Viaggi Nostop Annullamento,Rimborso Sinistri,Viaggi,Come devo comportarmi in caso di rinuncia al viaggio?,Come devo comportarmi in caso di rinuncia al viaggio?,Come devo comportarmi in caso di annullamento di un viaggio?,Cosa devo fare se sono costretto a rinunciare al viaggio?,Come devo procedere in caso di annullamento del viaggio?,Come devo fare per denunciare la rinuncia al viaggio?,A chi mi devo rivolgere in caso di annullamento del viaggio?,"Se il viaggio venisse annullato, come dovrei comportarmi?",Quali sono le istruzioni da seguire in caso di rinuncia al viaggio?,,,,,,,,,,,,,,,,,,,,"In caso di modifica o forzata rinuncia al viaggio dovrai:\nComunicare all'organizzazione viaggi o agenzia la rinuncia formale al viaggio,\nEffettuare una denuncia entro e non oltre i 3 giorni dal verificarsi della causa della rinuncia e comunque entro la data di inizio viaggio se il termine di 3 giorni cade successivamente alla data di inizio del viaggio. La denuncia può essere inoltrata accedendo al portale https://sinistrionline.europassistance.it seguendo le istruzioni oppure accedendo direttamente al sito integration2 sezione sinistri.\nPer qualunque ulteriore informazione ti invitiamo a consultare il Fascicolo Informativo o a contattarci, dall'Italia, al numero verde 800.01.35.29 dal Lunedì al Sabato, esclusi i festivi, dalle ore 8.00 alle ore 20.00"
56af6bd5e0e2eee2aa000097,Medico Nostop Italy,Rimborso Sinistri,Viaggi,"Ho sottoscritto la Polizza Medico Nostop Italy, come devo comportarmi in caso di sinistro?","Ho una polizza Medico Nostop Italy, come devo comportarmi in caso di sinistro?","Ho stipulato una polizza Medico Nostop Italy e mi è sono stato coinvolto in un sinistro, cosa devo fare?",In caso di sinistro cosa devo fare se ho un polizza Medico Nostop Italy?,"Se sottoscrivo una polizza Medico Nostop Italy, quali istruzioni devo seguire in caso di sinistro?",Quali tempistiche devo rispettare per la denuncia del sinistro se ho una polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,,,"In caso di sinistro, successivamente al contatto telefonico con la Centrale Operativa, l'Assicurato dovrà effettuare una denuncia accedendo al portale https://sinistrionline.europassistance.it  seguendo le  istruzioni oppure inviare una denuncia scritta indirizzata a Europ Assistance S.p.A. - Piazza Trento, 8 - 20135 Milano, evidenziando sulla busta ""Ufficio Liquidazione Sinistri. \nLe tempistiche per la denuncia e i documenti da presentare sono indicati nel Fascicolo Informativo ""Obblighi dell'Assicurato in caso di sinistro"".\nSe necessiti di assistenza per la denuncia del sinistro puoi contattarci al N° Verde 800.90.48.91, operativo dal lunedì al sabato dalle 08.00 alle 20.00"
56af6bd7e0e2eee2aa00009d,Medico Nostop Italy,Info e Acquisto,Viaggi,Come posso fare per disdire la mia polizza Medico Nostop Italy?,Come faccio a disdire la mia polizza Medico Nostop Italy?,Come comunicare la disdetta della polizza Medico Nostop Italy?,Quali sono le istruzioni da seguire per disdire la polizza Medico Nostop Italy??,Come posso inviare la disdetta della polizza Medico Nostop Italy?,Come ottenere la disdetta delle polizza Medico Nostop Italy?,Voglio disdire la polizza Medico Nostop Italy: come faccio?,Quali sono le modalità per disdire la mia polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,"La polizza Medico NoStop Italy, anche nella formula annuale non prevede il tacito rinnovo ma decade automaticamente alla data di scadenza inserita in polizza."
56af6bd8e0e2eee2aa0000a0,Medico Nostop Italy,Info e Acquisto,Viaggi,Chi stipula la polizza Medico Nostop Italy?,Chi può stipulare la polizza Medico Nostop Italy?,Quali sono le caratteristiche del contraente della polizza Medico Nostop Italy?,Chi è il contraente della polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,,,,,"Il contraente, ovvero la persona fisica, di cittadinanza italiana o anche straniera, purché residente in Italia, o la persona giuridica con sede legale in Italia, che sottoscrive la polizza di assicurazione per sé o a favore di terzi e ne assume i relativi oneri."
56af6bdde0e2eee2aa0000af,Medico Nostop Italy,Info e Acquisto,Viaggi,Cosa offre la polizza Medico Nostop Italy?,Quali garanzie offre la polizza Medico Nostop Italy?,Quali spese sono coperte dalla polizza Medico Nostop Italy?,A chi è rivolta la polizza Medico Nostop Italy?,Cosa prevede la polizza Medico Nostop Italy?,In quali paesi è valida la polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,,,"La polizza Medico Nostop Italy è l'assicurazione sanitaria per gli stranieri che viaggiano in Italia e nei paesi dell'area Schengen.\nComprende l'assistenza sanitaria 24 su 24  ed in caso di infortunio o malattia improvvisa  il rimborso delle spese mediche, farmaceutiche o ospedaliere sostenute a seguito di cure non procrastinabili."
56af6bdee0e2eee2aa0000b2,Medico Nostop Italy,Info e Acquisto,Viaggi,La polizza Medico Nostop Italy copre anche la gravidanza?,La polizza Medico Nostop Italy copre anche la gravidanza?,La gravidanza rientra tra le garanzie offerte dalla polizza Medico Nostop Italy?,Le spese connesse ad uno stato di gravidanza sono comprese nella polizza Medico Nostop Italy?,Come viene considerata la gravidanza all'interno della polizza Medico Nostop Italy?,L'assicurazione Medico Nostop Italy copre le persone in stato di gravidanza?,La polizza Medico Nostop Italy assicura anche le spese sostenute dalle persone in stato di gravidanza?,Come viene trattata la gravidanza all'interno delle condizioni della polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,"La polizza copre malattie e infortuni che insorgono a seguito di gravidanza, entro la 26a settimana di gestazione, ma, attenzione, la gravidanza non è di per sé una malattia, quindi non sono coperti esami particolari, ecografie ecc, se non sono conseguenza di malattia o infortunio."
56af6bdfe0e2eee2aa0000b5,Medico Nostop Italy,Info e Acquisto,Viaggi,Esiste il pagamento diretto delle spese mediche per la polizza Medico Nostop Italy?,"Se ho una polizza Medico Nostop Italy, è possibile il pagamento diretto delle spese mediche?"," Per la polizza Medico Nostop Italy, qual è la politica di Europ Assistance in merito al pagamento diretto delle spese mediche?", Come viene gestito da Europ Assistance il pagamento diretto delle spese mediche?,Nella polizza Medico Nostop Italy è previsto il pagamento diretto delle spese mediche?,È previsto il pagamento diretto delle spese mediche se ho una polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,,,"Si, Europ Assistance potrà tenere a proprio carico i costi con pagamenti diretti sul posto oppure con rimborso, sempre e solo fino al massimale previsto sul modulo di polizza."
56af6be0e0e2eee2aa0000b8,Medico Nostop Italy,Info e Acquisto,Viaggi,La polizza Medico Nostop Italy è valida ai fini del visto?,La polizza Medico Nostop Italy è valida ai fini del rilascio del visto?,La polizza Medico Nostop Italy viene riconosciuta ai fini del rilascio del visto?,La polizza Medico Nostop Italy è accettata per le pratiche di ottenimento del visto?,L'assicurazione Medico Nostop Italy può essere utilizzata per la richiesta del visto?,"Se devo fare richiesta del visto, come assicurazione sanitaria posso utilizzare la polizza Medico Nostop Italy?",,,,,,,,,,,,,,,,,,,,,,,Nella maggior parte dei casi lo è. In ogni caso consigliamo di chiedere maggiori informazioni alla questura italiana.
56af6be0e0e2eee2aa0000bb,Medico Nostop Italy,Info e Acquisto,Viaggi,Posso ricevere il contratto originale della polizza Medico Nostop Italy in modo tale che venga accettato dalla questura/consolato?,Posso ricevere il contratto originale della polizza Medico Nostop Italy cosicché venga accettato dalla questura/consolato?,Il documento che mi avete inviato tramite email è originale?,Potete inviarmi il contratto originale della polizza Medico Nostop Italy?,,,,,,,,,,,,,,,,,,,,,,,,,"Il documento che inviamo tramite fax o email è già un originale. In ogni caso, se l'assicurato lo preferisce, possiamo inviare il contratto anche tramite posta prioritaria."
